demand_electricity,electricity_balance,pv,supply_grid_power,heat_pump
-0.0,-4.436139890094637,0.0,0.0,-0.0
-0.0,-5.738473223427718,0.0,0.0,-0.0
-0.0,-4.343139890090242,0.0,0.0,-0.0
-0.0,-2.315473223432491,0.0,0.0,-0.0
-0.0,-1.5388065567567537,0.0,0.0,-0.0
-0.0,-1.5368065567672602,0.0,0.0,-0.0
-0.0,-1.4368065567614394,0.0,0.0,-0.0
-0.0,-1.683473223427427,0.0,0.0,-0.0
-0.0,-1.9428097214271651,0.0,0.0,-0.0
-0.0,-2.2558785564266994,0.0,0.0,-0.0
-0.0,-4.232911911097693,0.0,0.0,-0.0
-0.0,-5.533512507424168,0.0,0.0,-0.0
-0.0,-1.5694446497632146,0.0,0.0,-0.0
-0.0,-0.2911690664297848,0.0,0.0,-0.0
-0.0,-1.536729590757918,0.0,0.0,-0.0
-0.0,-2.4408491447586163,0.0,0.0,-0.0
-0.0,-2.866473223428329,0.0,0.0,-0.0
-0.0,-3.646473223430803,0.0,0.0,-0.0
-0.0,-4.107473223430134,0.0,0.0,-0.0
-0.0,-7.023139890090533,0.0,0.0,-0.0
-0.0,-5.704473223428067,0.0,0.0,-0.0
-0.0,-4.099806556761905,0.0,0.0,-0.0
-0.0,-3.624473223433597,0.0,0.0,-0.0
-0.0,-4.552806556755968,0.0,0.0,-0.0
-0.0,-3.2818065567626036,0.0,0.0,-0.0
-0.0,-1.9604732234256517,0.0,0.0,-0.0
-0.0,-1.649139890098013,0.0,0.0,-0.0
-0.0,-1.6488065567609738,0.0,0.0,-0.0
-0.0,-1.7038065567612648,0.0,0.0,-0.0
-0.0,-1.5964732234242547,0.0,0.0,-0.0
-0.0,-1.5688065567628655,0.0,0.0,-0.0
-0.0,-2.204139890094666,0.0,0.0,-0.0
-0.0,-1.820953276423178,0.0,0.0,-0.0
-0.0,-1.3145518994351104,0.0,0.0,-0.0
-0.0,-1.6229165657580924,0.0,0.0,-0.0
-0.0,-1.595134397759781,0.0,0.0,-0.0
-0.0,-1.269228376765834,0.0,0.0,-0.0
-0.0,-2.4401770814248076,0.0,0.0,-0.0
-0.0,-1.8803252730948405,0.0,0.0,-0.0
-0.0,-1.8784837120947533,0.0,0.0,-0.0
-0.0,-2.8444732234238472,0.0,0.0,-0.0
-0.0,-3.7018065567681333,0.0,0.0,-0.0
-0.0,-4.099139890095103,0.0,0.0,-0.0
-0.0,-4.404139890091756,0.0,0.0,-0.0
-0.0,-5.74113989009129,0.0,0.0,-0.0
-0.0,-5.622139890092512,0.0,0.0,-0.0
-0.0,-5.333806556765921,0.0,0.0,-0.0
-0.0,-3.361806556760712,0.0,0.0,-0.0
-0.0,-2.8491398900914646,0.0,0.0,-0.0
-0.0,-1.8421398900973145,0.0,0.0,-0.0
-0.0,-1.634139890094957,0.0,0.0,-0.0
-0.0,-1.4934732234250987,0.0,0.0,-0.0
-0.0,-1.5964732234315306,0.0,0.0,-0.0
-0.0,-1.6088065567601006,0.0,0.0,-0.0
-0.0,-1.5601398900944332,0.0,0.0,-0.0
-0.0,-2.03347322342961,0.0,0.0,-0.0
-0.0,-2.0185260087597805,0.0,0.0,-0.0
-0.0,-1.300862913759373,0.0,0.0,-0.0
-0.0,-2.766281365763302,0.0,0.0,-0.0
-0.0,-3.4259357407636806,0.0,0.0,-0.0
-0.0,-0.30675921442483656,0.0,0.0,-0.0
-0.0,0.8710734132357665,0.0,0.0,-0.0
-0.0,-1.5544427527593148,0.0,0.0,-0.0
-0.0,-4.208894585762458,0.0,0.0,-0.0
-0.0,-3.661473223433859,0.0,0.0,-0.0
-0.0,-4.051473223418725,0.0,0.0,-0.0
-0.0,-4.799473223432869,0.0,0.0,-0.0
-0.0,-4.75680655675751,0.0,0.0,-0.0
-0.0,-5.324473223427049,0.0,0.0,-0.0
-0.0,-4.377139890097169,0.0,0.0,-0.0
-0.0,-3.6274732234232943,0.0,0.0,-0.0
-0.0,-3.130139890094142,0.0,0.0,-0.0
-0.0,-2.8668065567653684,0.0,0.0,-0.0
-0.0,-1.764473223425739,0.0,0.0,-0.0
-0.0,-1.6928065567626618,0.0,0.0,-0.0
-0.0,-1.5578065567606245,0.0,0.0,-0.0
-0.0,-1.6534732234322291,0.0,0.0,-0.0
-0.0,-1.6021398900920758,0.0,0.0,-0.0
-0.0,-1.8371398900926579,0.0,0.0,-0.0
-0.0,-2.373139890092716,0.0,0.0,-0.0
-0.0,-2.1281441344281546,0.0,0.0,-0.0
-0.0,-2.0560250444338593,0.0,0.0,-0.0
-0.0,0.821177495578103,0.0,0.0,-0.0
-0.0,-2.9962031380970235,0.0,0.0,-0.0
-0.0,-0.030822245763156175,0.0,0.0,-0.0
-0.0,-0.23718820942518626,0.0,0.0,-0.0
-0.0,-3.8009883754264666,0.0,0.0,-0.0
-0.0,-2.621102809098973,0.0,0.0,-0.0
-0.0,-2.458139890088205,0.0,0.0,-0.0
-0.0,-4.052139890092803,0.0,0.0,-0.0
-0.0,-4.711806556766533,0.0,0.0,-0.0
-0.0,-4.110473223423469,0.0,0.0,-0.0
-0.0,-4.61180655676435,0.0,0.0,-0.0
-0.0,-3.747806556762953,0.0,0.0,-0.0
-0.0,-3.5124732234289695,0.0,0.0,-0.0
-0.0,-3.2694732234303956,0.0,0.0,-0.0
-0.0,-2.450139890090213,0.0,0.0,-0.0
-0.0,-2.1638065567603917,0.0,0.0,-0.0
-0.0,-1.7278065567625163,0.0,0.0,-0.0
-0.0,-1.6044732234295225,0.0,0.0,-0.0
-0.0,-1.591473223430512,0.0,0.0,-0.0
-0.0,-1.623139890092716,0.0,0.0,-0.0
-0.0,-1.6688065567577723,0.0,0.0,-0.0
-0.0,-2.2721398900939676,0.0,0.0,-0.0
-0.0,-1.7474517880972562,0.0,0.0,-0.0
-0.0,-1.5362797197589366,0.0,0.0,-0.0
-0.0,-1.9626601947628364,0.0,0.0,-0.0
-0.0,-1.934256981762429,0.0,0.0,-0.0
-0.0,0.36133841557260205,0.0,0.0,-0.0
-0.0,-1.0254534194271363,0.0,0.0,-0.0
-0.0,-4.3271200340941425,0.0,0.0,-0.0
-0.0,-3.7969084557625745,0.0,0.0,-0.0
-0.0,-5.258473223428155,0.0,0.0,-0.0
-0.0,-4.1608065567597805,0.0,0.0,-0.0
-0.0,-5.726473223425273,0.0,0.0,-0.0
-0.0,-5.469139890090446,0.0,0.0,-0.0
-0.0,-3.8184732234367402,0.0,0.0,-0.0
-0.0,-3.342806556760479,0.0,0.0,-0.0
-0.0,-3.160139890092978,0.0,0.0,-0.0
-0.0,-3.031139890095801,0.0,0.0,-0.0
-0.0,-2.675139890096034,0.0,0.0,-0.0
-0.0,-1.8848065567581216,0.0,0.0,-0.0
-0.0,-1.5841398900956847,0.0,0.0,-0.0
-0.0,-1.3858065567619633,0.0,0.0,-0.0
-0.0,-1.4918065567580925,0.0,0.0,-0.0
-0.0,-1.5494732234292314,0.0,0.0,-0.0
-0.0,-1.7254732234287076,0.0,0.0,-0.0
-0.0,-2.959806556755211,0.0,0.0,-0.0
-0.0,-3.4805523700987697,0.0,0.0,-0.0
-0.0,-1.6032721860962666,0.0,0.0,-0.0
-0.0,-3.999309410426554,0.0,0.0,-0.0
-0.0,-5.1167299304299005,0.0,0.0,-0.0
-0.0,-0.7938069820921347,0.0,0.0,-0.0
-0.0,0.3998010189049559,0.0,0.0,-0.0
-0.0,-1.415193741099992,0.0,0.0,-0.0
-0.0,-1.6768278367562006,0.0,0.0,-0.0
-0.0,-2.1701398900986533,0.0,0.0,-0.0
-0.0,-2.9054732234253606,0.0,0.0,-0.0
-0.0,-4.16813989009097,0.0,0.0,-0.0
-0.0,-5.143806556763593,0.0,0.0,-0.0
-0.0,-5.477806556758878,0.0,0.0,-0.0
