demand_electricity,electricity_balance,pv,soc,delta_battery,supply_grid_power,heat_pump
-0.0,-6.196406797935197,0.0,0.2,0.0,0.0,-0.0
-0.0,-5.229406797938282,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.927467955938482,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.0599999999903957,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.3189999999958673,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.4549999999944703,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.6000000000058208,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.065999999998894,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.6117571205069847,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.269911999249244,0.0,0.2,0.0,0.0,-0.0
-0.0,-5.418487047244296,0.0,0.2,0.0,0.0,-0.0
-0.0,-5.577338388996217,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.3026816430835692,-2.2818142907459826,0.0,-0.0
-0.0,-1.9712960712558827,0.0,0.2,1.848269575504246,0.0,-0.0
-0.0,-6.0658268264969735,0.0,0.2,0.0,0.0,-0.0
-0.0,-7.735845822992549,0.0,0.2,0.0,0.0,-0.0
-0.0,-7.184000000001106,0.0,0.2,0.0,0.0,-0.0
-0.0,-8.495000000009895,0.0,0.2,0.0,0.0,-0.0
-0.0,-8.856999999989057,0.0,0.2,0.0,0.0,-0.0
-0.0,-11.867999999994936,0.0,0.2,0.0,0.0,-0.0
-0.0,-11.125000000014552,0.0,0.2,0.0,0.0,-0.0
-0.0,-10.267999999996391,0.0,0.2,0.0,0.0,-0.0
-0.0,-8.189999999995052,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.917999999997846,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.729000000013912,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.587999999988824,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.495999999991909,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.5489999999990687,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.8250000000043656,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.6310000000157743,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.9749999999912689,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.974999999991269,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.917330119256985,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.5451770210073343,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.5724975202392315,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.5002376422510482,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.2330772907250131,-0.7350509050002912,0.0,-0.0
-0.0,-13.431692447448135,0.0,0.2,0.595391233050236,0.0,-0.0
-0.0,-10.131167111755472,0.0,0.2,0.0,0.0,-0.0
-0.0,-6.920273599499534,0.0,0.2,0.0,0.0,-0.0
